Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000149591,TAGLN,Gene Expression,0.7563160983345859,0.0,0.0,2090,5.354546415822365,139
ENSG00000101335,MYL9,Gene Expression,0.7349993077568702,0.0,0.0,2292,5.571370001859535,151
ENSG00000107796,ACTA2,Gene Expression,0.7320734784019469,0.0,0.0,3747,10.246708764052451,181
ENSG00000166923,GREM1,Gene Expression,0.7175677874952346,0.0,0.0,3573,9.380918128581765,164
ENSG00000196924,FLNA,Gene Expression,0.7159122625472154,0.0,0.0,3666,10.039967861139557,183
ENSG00000168542,COL3A1,Gene Expression,0.6590722790573121,0.0,0.0,6415,22.273730388339047,214
ENSG00000146674,IGFBP3,Gene Expression,0.6518638220577879,0.0,0.0,798,1.728088089558427,113
ENSG00000164692,COL1A2,Gene Expression,0.6478048541058189,0.0,0.0,6101,20.53506317691818,218
ENSG00000113140,SPARC,Gene Expression,0.6381820846990857,0.0,0.0,1568,4.488559015592735,153
ENSG00000160182,TFF1,Gene Expression,0.6181613482971287,0.0,0.0,3671,7.140742196020727,141
ENSG00000163017,ACTG2,Gene Expression,0.6015790606262852,0.0,0.0,674,1.649506403582786,104
ENSG00000215182,MUC5AC,Gene Expression,0.5950486346060472,0.0,0.0,699,1.3810792251818744,58
ENSG00000175084,DES,Gene Expression,0.5884150136746965,0.0,0.0,1116,3.0587172804517095,128
ENSG00000160180,TFF3,Gene Expression,0.5697547262608279,0.0,0.0,1375,3.034759830837163,119
ENSG00000108821,COL1A1,Gene Expression,0.5691305444900098,0.0,0.0,1871,5.3488930821535385,156
ENSG00000198467,TPM2,Gene Expression,0.5640514027815101,0.0,0.0,5495,20.093799069016185,225
ENSG00000065534,MYLK,Gene Expression,0.5601539931115216,0.0,0.0,573,1.3908977704913867,107
ENSG00000170421,KRT8,Gene Expression,0.557541062768114,0.0,0.0,2938,6.340876120446418,187
ENSG00000171747,LGALS4,Gene Expression,0.5561098542659391,0.0,0.0,2759,5.50693453788539,164
ENSG00000189334,S100A14,Gene Expression,0.5472616566717476,0.0,0.0,2036,4.356551229770312,160
ENSG00000106624,AEBP1,Gene Expression,0.5384992305794061,0.0,0.0,827,2.0058682238672056,111
ENSG00000122786,CALD1,Gene Expression,0.5087725702014226,0.0,0.0,310,0.7096109245656216,90
ENSG00000163586,FABP1,Gene Expression,0.5038861823966607,0.0,0.0,1251,2.3891615794443055,102
ENSG00000011465,DCN,Gene Expression,0.5010267035307838,0.0,0.0,1118,3.791682862552931,159
ENSG00000163431,LMOD1,Gene Expression,0.4985001487977863,0.0,0.0,284,0.6247273660012564,76
ENSG00000187955,COL14A1,Gene Expression,0.49312548523889504,0.0,0.0,436,1.1815308953313715,109
ENSG00000026025,VIM,Gene Expression,0.48894986107393673,0.0,0.0,764,1.9788512773933284,132
ENSG00000142173,COL6A2,Gene Expression,0.4802941595268429,0.0,0.0,675,1.8440872834225073,129
ENSG00000197956,S100A6,Gene Expression,0.4765385084086268,0.0,0.0,8004,17.413216124288006,233
ENSG00000115461,IGFBP5,Gene Expression,0.47150941676666486,0.0,0.0,580,1.7246925035419043,117
ENSG00000180875,GREM2,Gene Expression,0.46460331638020286,0.0,0.0,350,0.9297267215076572,93
ENSG00000134193,REG4,Gene Expression,0.4640521352179038,0.0,0.0,480,0.9030378783988909,69
ENSG00000159403,C1R,Gene Expression,0.45950508367695353,0.0,0.0,644,1.7903191035299848,128
ENSG00000177469,CAVIN1,Gene Expression,0.4582977663276562,0.0,0.0,940,2.9235613503644537,148
ENSG00000198788,MUC2,Gene Expression,0.45601756751673733,0.0,0.0,541,1.2947018261039753,72
ENSG00000163453,IGFBP7,Gene Expression,0.45168068059584215,0.0,0.0,695,1.8829772425334297,130
ENSG00000211592,IGKC,Gene Expression,0.4508683352883191,0.0,0.0,3861,16.36740111879952,214
ENSG00000166482,MFAP4,Gene Expression,0.44611210399768525,0.0,0.0,284,0.6484100310728905,85
ENSG00000182492,BGN,Gene Expression,0.44282921802909203,0.0,0.0,503,1.450416345468656,110
ENSG00000117472,TSPAN1,Gene Expression,0.4428218789894574,0.0,0.0,672,1.3304393836349384,85
ENSG00000233041,PHGR1,Gene Expression,0.43867734188595964,0.0,0.0,1048,1.8331637709718496,107
ENSG00000089356,FXYD3,Gene Expression,0.4386421139540738,0.0,0.0,624,1.3712740367539977,103
ENSG00000211896,IGHG1,Gene Expression,0.4356848275014322,0.0,0.0,684,2.6064157641375836,120
ENSG00000196154,S100A4,Gene Expression,0.42452521619992534,0.0,0.0,660,1.9754730058403556,143
ENSG00000275395,FCGBP,Gene Expression,0.4231627362382687,0.0,0.0,882,2.078610390607525,113
ENSG00000182534,MXRA7,Gene Expression,0.42261514467354255,0.0,0.0,521,1.4623408519276466,122
ENSG00000105388,CEACAM5,Gene Expression,0.4198453437352732,0.0,0.0,228,0.62987849694158,59
ENSG00000175899,A2M,Gene Expression,0.4184665081133444,0.0,0.0,237,0.524460421070264,80
ENSG00000140416,TPM1,Gene Expression,0.4178609332618809,0.0,0.0,2095,5.756775329953204,201
ENSG00000162981,LRATD1,Gene Expression,0.417523149985252,0.0,0.0,719,2.040898566496012,140
ENSG00000077942,FBLN1,Gene Expression,0.415641103149145,0.0,0.0,362,0.9784037328508464,99
ENSG00000189143,CLDN4,Gene Expression,0.41422085586527807,0.0,0.0,727,1.3922099495261335,103
ENSG00000004776,HSPB6,Gene Expression,0.4115222117445326,0.0,0.0,337,0.9824494067220298,100
ENSG00000198832,SELENOM,Gene Expression,0.3993935759923826,0.0,0.0,453,1.2650102813871045,109
ENSG00000211897,IGHG3,Gene Expression,0.3944236529570135,0.0,0.0,114,0.602113166939093,35
ENSG00000075624,ACTB,Gene Expression,0.39404903273154507,0.0,0.0,1670,4.097117189341849,195
ENSG00000163359,COL6A3,Gene Expression,0.3920633263265527,0.0,0.0,438,1.2772865762721077,114
ENSG00000119888,EPCAM,Gene Expression,0.3915259045224427,0.0,0.0,621,1.430082011821567,105
