Trait	CHR	n_variants	output_file	status
555.1_CD	1	2193458	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr1.txt.gz	written
555.1_CD	2	2439558	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr2.txt.gz	written
555.1_CD	3	2050060	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr3.txt.gz	written
555.1_CD	4	2038106	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr4.txt.gz	written
555.1_CD	5	1877878	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr5.txt.gz	written
555.1_CD	6	1842323	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr6.txt.gz	written
555.1_CD	7	1659686	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr7.txt.gz	written
555.1_CD	8	1602435	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr8.txt.gz	written
555.1_CD	9	1221543	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr9.txt.gz	written
555.1_CD	10	1413261	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr10.txt.gz	written
555.1_CD	11	1424767	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr11.txt.gz	written
555.1_CD	12	1326507	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr12.txt.gz	written
555.1_CD	13	987211	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr13.txt.gz	written
555.1_CD	14	891945	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr14.txt.gz	written
555.1_CD	15	796827	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr15.txt.gz	written
555.1_CD	16	863274	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr16.txt.gz	written
555.1_CD	17	745404	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr17.txt.gz	written
555.1_CD	18	758673	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr18.txt.gz	written
555.1_CD	19	603496	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr19.txt.gz	written
555.1_CD	20	601199	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr20.txt.gz	written
555.1_CD	21	356214	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr21.txt.gz	written
555.1_CD	22	353575	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.1_CD/555.1_CD_chr22.txt.gz	written
555.2_UC	1	2193458	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr1.txt.gz	written
555.2_UC	2	2439558	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr2.txt.gz	written
555.2_UC	3	2050060	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr3.txt.gz	written
555.2_UC	4	2038106	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr4.txt.gz	written
555.2_UC	5	1877878	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr5.txt.gz	written
555.2_UC	6	1842323	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr6.txt.gz	written
555.2_UC	7	1659686	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr7.txt.gz	written
555.2_UC	8	1602435	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr8.txt.gz	written
555.2_UC	9	1221543	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr9.txt.gz	written
555.2_UC	10	1413261	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr10.txt.gz	written
555.2_UC	11	1424767	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr11.txt.gz	written
555.2_UC	12	1326507	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr12.txt.gz	written
555.2_UC	13	987211	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr13.txt.gz	written
555.2_UC	14	891945	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr14.txt.gz	written
555.2_UC	15	796827	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr15.txt.gz	written
555.2_UC	16	863274	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr16.txt.gz	written
