Trait	CHR	n_variants	output_file	status
finngen_R12_K11_CD_STRICT2	1	1609955	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr1.txt.gz	written
finngen_R12_K11_CD_STRICT2	2	1747920	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr2.txt.gz	written
finngen_R12_K11_CD_STRICT2	3	1458915	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr3.txt.gz	written
finngen_R12_K11_CD_STRICT2	4	1456628	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr4.txt.gz	written
finngen_R12_K11_CD_STRICT2	5	1320706	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr5.txt.gz	written
finngen_R12_K11_CD_STRICT2	6	1312039	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr6.txt.gz	written
finngen_R12_K11_CD_STRICT2	7	1191729	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr7.txt.gz	written
finngen_R12_K11_CD_STRICT2	8	1130853	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr8.txt.gz	written
finngen_R12_K11_CD_STRICT2	9	892853	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr9.txt.gz	written
finngen_R12_K11_CD_STRICT2	10	1019862	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr10.txt.gz	written
finngen_R12_K11_CD_STRICT2	11	999343	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr11.txt.gz	written
finngen_R12_K11_CD_STRICT2	12	971381	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr12.txt.gz	written
finngen_R12_K11_CD_STRICT2	13	734792	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr13.txt.gz	written
finngen_R12_K11_CD_STRICT2	14	668471	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr14.txt.gz	written
finngen_R12_K11_CD_STRICT2	15	590105	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr15.txt.gz	written
finngen_R12_K11_CD_STRICT2	16	658888	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr16.txt.gz	written
finngen_R12_K11_CD_STRICT2	17	569615	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr17.txt.gz	written
finngen_R12_K11_CD_STRICT2	18	577585	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr18.txt.gz	written
finngen_R12_K11_CD_STRICT2	19	461458	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr19.txt.gz	written
finngen_R12_K11_CD_STRICT2	20	464094	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr20.txt.gz	written
finngen_R12_K11_CD_STRICT2	21	272563	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr21.txt.gz	written
finngen_R12_K11_CD_STRICT2	22	288581	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_CD_STRICT2/finngen_R12_K11_CD_STRICT2_chr22.txt.gz	written
finngen_R12_K11_UC_STRICT2	1	1609956	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr1.txt.gz	written
finngen_R12_K11_UC_STRICT2	2	1747920	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr2.txt.gz	written
finngen_R12_K11_UC_STRICT2	3	1458914	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr3.txt.gz	written
finngen_R12_K11_UC_STRICT2	4	1456628	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr4.txt.gz	written
finngen_R12_K11_UC_STRICT2	5	1320706	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr5.txt.gz	written
finngen_R12_K11_UC_STRICT2	6	1312039	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr6.txt.gz	written
finngen_R12_K11_UC_STRICT2	7	1191729	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr7.txt.gz	written
finngen_R12_K11_UC_STRICT2	8	1130853	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr8.txt.gz	written
finngen_R12_K11_UC_STRICT2	9	892852	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr9.txt.gz	written
finngen_R12_K11_UC_STRICT2	10	1019862	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr10.txt.gz	written
finngen_R12_K11_UC_STRICT2	11	999343	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr11.txt.gz	written
finngen_R12_K11_UC_STRICT2	12	971380	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr12.txt.gz	written
finngen_R12_K11_UC_STRICT2	13	734792	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr13.txt.gz	written
finngen_R12_K11_UC_STRICT2	14	668471	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr14.txt.gz	written
finngen_R12_K11_UC_STRICT2	15	590105	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr15.txt.gz	written
finngen_R12_K11_UC_STRICT2	16	658888	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr16.txt.gz	written
finngen_R12_K11_UC_STRICT2	17	569615	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr17.txt.gz	written
finngen_R12_K11_UC_STRICT2	18	577585	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr18.txt.gz	written
finngen_R12_K11_UC_STRICT2	19	461458	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr19.txt.gz	written
finngen_R12_K11_UC_STRICT2	20	464094	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr20.txt.gz	written
finngen_R12_K11_UC_STRICT2	21	272563	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr21.txt.gz	written
finngen_R12_K11_UC_STRICT2	22	288581	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_UC_STRICT2/finngen_R12_K11_UC_STRICT2_chr22.txt.gz	written
finngen_R12_K11_IBD_STRICT	1	1609956	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr1.txt.gz	written
finngen_R12_K11_IBD_STRICT	2	1747920	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr2.txt.gz	written
finngen_R12_K11_IBD_STRICT	3	1458915	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr3.txt.gz	written
finngen_R12_K11_IBD_STRICT	4	1456628	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr4.txt.gz	written
finngen_R12_K11_IBD_STRICT	5	1320706	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr5.txt.gz	written
finngen_R12_K11_IBD_STRICT	6	1312039	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr6.txt.gz	written
finngen_R12_K11_IBD_STRICT	7	1191729	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr7.txt.gz	written
finngen_R12_K11_IBD_STRICT	8	1130853	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr8.txt.gz	written
finngen_R12_K11_IBD_STRICT	9	892853	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr9.txt.gz	written
finngen_R12_K11_IBD_STRICT	10	1019862	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr10.txt.gz	written
finngen_R12_K11_IBD_STRICT	11	999343	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr11.txt.gz	written
finngen_R12_K11_IBD_STRICT	12	971381	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr12.txt.gz	written
finngen_R12_K11_IBD_STRICT	13	734792	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr13.txt.gz	written
finngen_R12_K11_IBD_STRICT	14	668471	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr14.txt.gz	written
finngen_R12_K11_IBD_STRICT	15	590105	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr15.txt.gz	written
finngen_R12_K11_IBD_STRICT	16	658888	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr16.txt.gz	written
finngen_R12_K11_IBD_STRICT	17	569615	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr17.txt.gz	written
finngen_R12_K11_IBD_STRICT	18	577585	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr18.txt.gz	written
finngen_R12_K11_IBD_STRICT	19	461458	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr19.txt.gz	written
finngen_R12_K11_IBD_STRICT	20	464094	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr20.txt.gz	written
finngen_R12_K11_IBD_STRICT	21	272563	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr21.txt.gz	written
finngen_R12_K11_IBD_STRICT	22	288581	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/FinnGen/finngen_R12_K11_IBD_STRICT/finngen_R12_K11_IBD_STRICT_chr22.txt.gz	written
